timestamp, mac, rss, battery
2013-11-15 10:14:10.090000,4694202700110029,-40,8201,0
2013-11-15 10:14:11.127000,4694202700110029,-40,8301,0
2013-11-15 10:14:12.195000,4694202700110029,-40,8401,0
2013-11-15 10:14:13.201000,4694202700110029,-40,8501,0
2013-11-15 10:14:14.190000,4694202700110029,-40,8601,0
2013-11-15 10:14:15.194000,4694202700110029,-40,8701,0
2013-11-15 10:14:16.183000,4694202700110029,-40,8801,0
2013-11-15 10:14:17.203000,4694202700110029,-40,8901,0
2013-11-15 10:14:18.208000,4694202700110029,-40,8A01,0
2013-11-15 10:14:19.228000,4694202700110029,-40,8B01,0
2013-11-15 10:14:20.297000,4694202700110029,-40,8C01,0
2013-11-15 10:14:21.318000,4694202700110029,-39,8D01,0
2013-11-15 10:14:22.386000,4694202700110029,-40,8E01,0
2013-11-15 10:14:23.407000,4694202700110029,-40,8F01,0
2013-11-15 10:14:24.475000,4694202700110029,-40,9001,0
2013-11-15 10:14:25.527000,4694202700110029,-40,9101,0
2013-11-15 10:14:26.565000,4694202700110029,-40,9201,0
2013-11-15 10:14:27.601000,4694202700110029,-40,9301,0
2013-11-15 10:14:28.670000,4694202700110029,-40,9401,0
2013-11-15 10:14:29.706000,4694202700110029,-40,9501,0
2013-11-15 10:14:30.727000,4694202700110029,-40,9601,0
2013-11-15 10:14:31.747000,4694202700110029,-40,9701,0
2013-11-15 10:14:37.837000,4694202700110029,-40,9D01,0
2013-11-15 10:14:38.874000,4694202700110029,-40,9E01,0
2013-11-15 10:14:39.910000,4694202700110029,-40,9F01,0
2013-11-15 10:14:40.915000,4694202700110029,-40,A001,0
2013-11-15 10:14:41.935000,4694202700110029,-40,A101,0
2013-11-15 10:14:42.924000,4694202700110029,-40,A201,0
2013-11-15 10:14:43.946000,4694202700110029,-40,A301,0
2013-11-15 10:14:44.950000,4694202700110029,-40,A401,0
2013-11-15 10:14:45.954000,4694202700110029,-40,A501,0
2013-11-15 10:14:47.006000,4694202700110029,-40,A601,0
2013-11-15 10:14:48.011000,4694202700110029,-40,A701,0
2013-11-15 10:14:49.015000,4694202700110029,-40,A801,0
2013-11-15 10:14:50.036000,4694202700110029,-40,A901,0
