timestamp, mac, rss, battery
2013-11-15 10:11:13.495000,4694202700110029,-40,D600,0
2013-11-15 10:11:14.532000,4694202700110029,-40,D700,0
2013-11-15 10:11:15.567000,4694202700110029,-40,D800,0
2013-11-15 10:11:16.618000,4694202700110029,-40,D900,0
2013-11-15 10:11:17.653000,4694202700110029,-40,DA00,0
2013-11-15 10:11:18.673000,4694202700110029,-40,DB00,0
2013-11-15 10:11:21.776000,4694202700110029,-40,DE00,0
2013-11-15 10:11:24.912000,4694202700110029,-40,E100,0
2013-11-15 10:11:28.040000,4694202700110029,-40,E400,0
2013-11-15 10:11:30.166000,4694202700110029,-40,E600,0
2013-11-15 10:11:31.202000,4694202700110029,-40,E700,0
2013-11-15 10:11:32.207000,4694202700110029,-40,E800,0
2013-11-15 10:11:33.210000,4694202700110029,-40,E900,0
2013-11-15 10:11:34.214000,4694202700110029,-40,EA00,0
2013-11-15 10:11:35.217000,4694202700110029,-40,EB00,0
2013-11-15 10:11:36.285000,4694202700110029,-40,EC00,0
2013-11-15 10:11:37.320000,4694202700110029,-41,ED00,0
2013-11-15 10:11:38.292000,4694202700110029,-41,EE00,0
2013-11-15 10:11:39.296000,4694202700110029,-41,EF00,0
2013-11-15 10:11:40.284000,4694202700110029,-41,F000,0
2013-11-15 10:11:41.303000,4694202700110029,-42,F100,0
2013-11-15 10:11:42.339000,4694202700110029,-42,F200,0
2013-11-15 10:11:43.375000,4694202700110029,-41,F300,0
2013-11-15 10:11:44.410000,4694202700110029,-41,F400,0
2013-11-15 10:11:45.398000,4694202700110029,-42,F500,0
2013-11-15 10:11:46.465000,4694202700110029,-41,F600,0
2013-11-15 10:11:47.437000,4694202700110029,-41,F700,0
2013-11-15 10:11:48.426000,4694202700110029,-41,F800,0
2013-11-15 10:11:49.446000,4694202700110029,-41,F900,0
2013-11-15 10:11:50.481000,4694202700110029,-41,FA00,0
2013-11-15 10:11:51.469000,4694202700110029,-41,FB00,0
2013-11-15 10:11:52.504000,4694202700110029,-41,FC00,0
2013-11-15 10:11:53.587000,4694202700110029,-41,FD00,0
2013-11-15 10:11:54.591000,4694202700110029,-41,FE00,0
2013-11-15 10:11:55.643000,4694202700110029,-40,FF00,0
2013-11-15 10:11:56.663000,4694202700110029,-41,0001,0
2013-11-15 10:11:57.746000,4694202700110029,-42,0101,0
2013-11-15 10:11:58.782000,4694202700110029,-41,0201,0
2013-11-15 10:11:59.770000,4694202700110029,-41,0301,0
2013-11-15 10:12:00.774000,4694202700110029,-42,0401,0
2013-11-15 10:12:01.842000,4694202700110029,-40,0501,0
2013-11-15 10:12:02.894000,4694202700110029,-40,0601,0
2013-11-15 10:12:03.946000,4694202700110029,-41,0701,0
2013-11-15 10:12:04.934000,4694202700110029,-40,0801,0
2013-11-15 10:12:05.986000,4694202700110029,-40,0901,0
2013-11-15 10:12:07.007000,4694202700110029,-40,0A01,0
2013-11-15 10:12:08.026000,4694202700110029,-41,0B01,0
2013-11-15 10:12:09.031000,4694202700110029,-41,0C01,0
2013-11-15 10:12:10.019000,4694202700110029,-40,0D01,0
2013-11-15 10:12:11.006000,4694202700110029,-41,0E01,0
2013-11-15 10:12:12.010000,4694202700110029,-41,0F01,0
2013-11-15 10:12:12.999000,4694202700110029,-40,1001,0
