timestamp, mac, rss, battery
2013-11-15 15:57:15.090000,4694202700110029,-37,9936,0
2013-11-15 15:57:16.111000,4694202700110029,-37,9A36,0
2013-11-15 15:57:17.179000,4694202700110029,-37,9B36,0
2013-11-15 15:57:18.184000,4694202700110029,-37,9C36,0
2013-11-15 15:57:19.189000,4694202700110029,-37,9D36,0
2013-11-15 15:57:20.258000,4694202700110029,-37,9E36,0
2013-11-15 15:57:21.279000,4694202700110029,-37,9F36,0
2013-11-15 15:57:22.363000,4694202700110029,-37,A036,0
2013-11-15 15:57:23.368000,4694202700110029,-37,A136,0
2013-11-15 15:57:24.436000,4694202700110029,-39,A236,0
2013-11-15 15:57:25.490000,4694202700110029,-39,A336,0
2013-11-15 15:57:26.511000,4694202700110029,-39,A436,0
2013-11-15 15:57:27.531000,4694202700110029,-39,A536,0
2013-11-15 15:57:28.536000,4694202700110029,-39,A636,0
2013-11-15 15:57:29.557000,4694202700110029,-39,A736,0
2013-11-15 15:57:30.546000,4694202700110029,-39,A836,0
2013-11-15 15:57:31.598000,4694202700110029,-39,A936,0
2013-11-15 15:57:32.635000,4694202700110029,-39,AA36,0
2013-11-15 15:57:33.672000,4694202700110029,-39,AB36,0
2013-11-15 15:57:34.661000,4694202700110029,-39,AC36,0
2013-11-15 15:57:35.714000,4694202700110029,-39,AD36,0
2013-11-15 15:57:36.719000,4694202700110029,-39,AE36,0
2013-11-15 15:57:37.708000,4694202700110029,-39,AF36,0
2013-11-15 15:57:38.713000,4694202700110029,-39,B036,0
2013-11-15 15:57:39.750000,4694202700110029,-39,B136,0
2013-11-15 15:57:40.819000,4694202700110029,-39,B236,0
2013-11-15 15:57:41.824000,4694202700110029,-39,B336,0
2013-11-15 15:57:42.831000,4694202700110029,-38,B436,0
2013-11-15 15:57:43.867000,4694202700110029,-38,B536,0
2013-11-15 15:57:44.857000,4694202700110029,-39,B636,0
2013-11-15 15:57:45.877000,4694202700110029,-39,B736,0
2013-11-15 15:57:46.930000,4694202700110029,-39,B836,0
2013-11-15 15:57:47.951000,4694202700110029,-39,B936,0
2013-11-15 15:57:48.987000,4694202700110029,-39,BA36,0
2013-11-15 15:57:50.008000,4694202700110029,-39,BB36,0
2013-11-15 15:57:51.013000,4694202700110029,-39,BC36,0
2013-11-15 15:57:52.081000,4694202700110029,-39,BD36,0
2013-11-15 15:57:53.166000,4694202700110029,-39,BE36,0
2013-11-15 15:57:54.154000,4694202700110029,-39,BF36,0
2013-11-15 15:57:55.207000,4694202700110029,-39,C036,0
2013-11-15 15:57:56.196000,4694202700110029,-39,C136,0
2013-11-15 15:57:57.248000,4694202700110029,-39,C236,0
2013-11-15 15:57:58.285000,4694202700110029,-39,C336,0
2013-11-15 15:57:59.305000,4694202700110029,-39,C436,0
2013-11-15 15:58:00.279000,4694202700110029,-39,C536,0
2013-11-15 15:58:01.332000,4694202700110029,-39,C636,0
2013-11-15 15:58:02.401000,4694202700110029,-39,C736,0
2013-11-15 15:58:03.469000,4694202700110029,-39,C836,0
2013-11-15 15:58:04.506000,4694202700110029,-39,C936,0
2013-11-15 15:58:05.494000,4694202700110029,-39,CA36,0
2013-11-15 15:58:06.499000,4694202700110029,-39,CB36,0
2013-11-15 15:58:07.551000,4694202700110029,-39,CC36,0
2013-11-15 15:58:08.620000,4694202700110029,-39,CD36,0
2013-11-15 15:58:09.593000,4694202700110029,-38,CE36,0
2013-11-15 15:58:10.609000,4694202700110029,-39,CF36,0
2013-11-15 15:58:11.643000,4694202700110029,-39,D036,0
