timestamp, mac, rss, battery
2013-11-15 16:35:43.104000,4694202700110029,-39,5A3F,0
2013-11-15 16:35:44.109000,4694202700110029,-39,5B3F,0
2013-11-15 16:35:45.146000,4694202700110029,-39,5C3F,0
2013-11-15 16:35:46.183000,4694202700110029,-39,5D3F,0
2013-11-15 16:35:47.172000,4694202700110029,-39,5E3F,0
2013-11-15 16:35:48.193000,4694202700110029,-39,5F3F,0
2013-11-15 16:35:49.213000,4694202700110029,-39,603F,0
2013-11-15 16:35:50.250000,4694202700110029,-39,613F,0
2013-11-15 16:35:51.287000,4694202700110029,-40,623F,0
2013-11-15 16:35:52.340000,4694202700110029,-40,633F,0
2013-11-15 16:35:53.361000,4694202700110029,-39,643F,0
2013-11-15 16:35:55.402000,4694202700110029,-39,663F,0
2013-11-15 16:35:56.391000,4694202700110029,-40,673F,0
2013-11-15 16:35:57.443000,4694202700110029,-39,683F,0
2013-11-15 16:35:58.448000,4694202700110029,-39,693F,0
2013-11-15 16:35:59.484000,4694202700110029,-40,6A3F,0
2013-11-15 16:36:00.506000,4694202700110029,-39,6B3F,0
2013-11-15 16:36:01.558000,4694202700110029,-39,6C3F,0
2013-11-15 16:36:02.546000,4694202700110029,-39,6D3F,0
2013-11-15 16:36:03.615000,4694202700110029,-39,6E3F,0
2013-11-15 16:36:04.698000,4694202700110029,-39,6F3F,0
2013-11-15 16:36:05.766000,4694202700110029,-39,703F,0
2013-11-15 16:36:06.835000,4694202700110029,-39,713F,0
2013-11-15 16:36:07.839000,4694202700110029,-39,723F,0
2013-11-15 16:36:08.844000,4694202700110029,-39,733F,0
2013-11-15 16:36:09.913000,4694202700110029,-39,743F,0
2013-11-15 16:36:10.966000,4694202700110029,-39,753F,0
2013-11-15 16:36:12.018000,4694202700110029,-39,763F,0
2013-11-15 16:36:13.039000,4694202700110029,-40,773F,0
2013-11-15 16:36:14.091000,4694202700110029,-39,783F,0
2013-11-15 16:36:15.128000,4694202700110029,-39,793F,0
2013-11-15 16:36:16.133000,4694202700110029,-38,7A3F,0
2013-11-15 16:36:17.138000,4694202700110029,-39,7B3F,0
2013-11-15 16:36:18.174000,4694202700110029,-39,7C3F,0
2013-11-15 16:36:19.163000,4694202700110029,-39,7D3F,0
2013-11-15 16:36:20.233000,4694202700110029,-39,7E3F,0
2013-11-15 16:36:21.302000,4694202700110029,-39,7F3F,0
2013-11-15 16:36:22.324000,4694202700110029,-39,803F,0
2013-11-15 16:36:24.349000,4694202700110029,-39,823F,0
2013-11-15 16:36:25.338000,4694202700110029,-38,833F,0
2013-11-15 16:36:26.390000,4694202700110029,-39,843F,0
2013-11-15 16:36:27.381000,4694202700110029,-39,853F,0
2013-11-15 16:36:28.403000,4694202700110029,-39,863F,0
2013-11-15 16:36:29.424000,4694202700110029,-39,873F,0
2013-11-15 16:36:30.445000,4694202700110029,-39,883F,0
2013-11-15 16:36:31.513000,4694202700110029,-39,893F,0
2013-11-15 16:36:32.583000,4694202700110029,-39,8A3F,0
2013-11-15 16:36:33.636000,4694202700110029,-39,8B3F,0
2013-11-15 16:36:34.673000,4694202700110029,-39,8C3F,0
2013-11-15 16:36:35.662000,4694202700110029,-39,8D3F,0
2013-11-15 16:36:36.715000,4694202700110029,-39,8E3F,0
2013-11-15 16:36:37.691000,4694202700110029,-39,8F3F,0
2013-11-15 16:36:38.742000,4694202700110029,-39,903F,0
2013-11-15 16:36:39.747000,4694202700110029,-39,913F,0
2013-11-15 16:36:40.799000,4694202700110029,-39,923F,0
2013-11-15 16:36:41.836000,4694202700110029,-39,933F,0
2013-11-15 16:36:42.873000,4694202700110029,-39,943F,0
2013-11-15 16:36:43.878000,4694202700110029,-39,953F,0
2013-11-15 16:36:44.885000,4694202700110029,-38,963F,0
2013-11-15 16:36:45.874000,4694202700110029,-39,973F,0
2013-11-15 16:41:25.558000,4694202700110029,-42,A640,0
2013-11-15 16:41:26.610000,4694202700110029,-42,A740,0
2013-11-15 16:41:27.615000,4694202700110029,-42,A840,0
2013-11-15 16:41:28.684000,4694202700110029,-42,A940,0
2013-11-15 16:41:29.714000,4694202700110029,-42,AA40,0
2013-11-15 16:41:30.758000,4694202700110029,-42,AB40,0
2013-11-15 16:41:31.811000,4694202700110029,-42,AC40,0
2013-11-15 16:41:32.816000,4694202700110029,-42,AD40,0
2013-11-15 16:41:33.820000,4694202700110029,-43,AE40,0
